trial,gamma,w1,w2,k,r,neighbor_mode,min_dense_points,trajectories,original_points,feature_points,compression_rate_dr,distance_similarity_dl,ld_score,cluster_coverage,n_clusters,largest_cluster_points,largest_cluster_share,nodes,edges,transitions,score,runtime_sec,rss_mb,trial_dir,feature_points_csv,map_html
8,0.005,1.0,1.0,1400,5e-06,4.0,,39281,494335,95899,0.8060040256101632,0.9179031995697604,1.7239072251799237,1.0,2183,27823,0.29012815566377126,509,308,528,1.0163537256120236,14.071891600004165,698.48046875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p005_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p005_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p005_w1_1p0_w2_1p0\nlsn_map.html
7,0.002,1.0,1.0,1400,5e-06,4.0,,39281,494335,108778,0.7799508430517766,0.9244504253292853,1.704401268381062,1.0,2232,32114,0.2952251374358786,530,311,518,1.007751610779365,9.319737500016345,705.48046875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p002_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p002_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p002_w1_1p0_w2_1p0\nlsn_map.html
9,0.01,1.0,1.0,1400,5e-06,4.0,,39281,494335,88681,0.8206054598602163,0.8605270642095298,1.6811325240697461,1.0,2181,25360,0.28596880955334286,509,323,562,1.0025746917620375,9.474814199988032,714.671875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p01_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p01_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p01_w1_1p0_w2_1p0\nlsn_map.html
10,0.02,1.0,1.0,1400,5e-06,4.0,,39281,494335,83430,0.8312278110997603,0.8123973560777669,1.643625167177527,1.0,2227,16696,0.20011986096128492,524,366,625,1.0019953275083988,8.431257599993842,712.16015625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p02_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p02_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p02_w1_1p0_w2_1p0\nlsn_map.html
6,0.001,1.0,1.0,1400,5e-06,4.0,,39281,494335,120446,0.7563474162258388,0.9269676185666877,1.6833150347925265,1.0,2195,35974,0.29867326436743435,556,351,541,0.9978514007741028,10.571227200009162,707.0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p001_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p001_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p001_w1_1p0_w2_1p0\nlsn_map.html
11,0.05,1.0,1.0,1400,5e-06,4.0,,39281,494335,79705,0.8387631869076638,0.7830791983634248,1.6218423852710886,1.0,2246,15833,0.1986450034502227,528,366,627,0.9946348576142875,7.516496600001119,712.28125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p05_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p05_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p05_w1_1p0_w2_1p0\nlsn_map.html
12,0.1,1.0,1.0,1400,5e-06,4.0,,39281,494335,78849,0.8404948061537216,0.7648159876777538,1.6053107938314755,1.0,2240,15679,0.19884843181270528,529,365,617,0.9884191964154375,7.552230700006476,718.9921875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p1_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p1_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p1_w1_1p0_w2_1p0\nlsn_map.html
5,0.0005,1.0,1.0,1400,5e-06,4.0,,39281,494335,133825,0.7292827738274652,0.9283666147531618,1.657649388580627,1.0,2096,42344,0.3164132262282832,613,381,595,0.9862502822452177,12.298336200008634,705.0078125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0005_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0005_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0005_w1_1p0_w2_1p0\nlsn_map.html
4,0.0002,1.0,1.0,1400,5e-06,4.0,,39281,494335,153765,0.6889457554087814,0.9292868069155873,1.6182325623243687,1.0,1880,48513,0.31550092673885477,693,377,568,0.9711129518023323,11.971911000000546,706.48828125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0002_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0002_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0002_w1_1p0_w2_1p0\nlsn_map.html
3,0.0001,1.0,1.0,1400,5e-06,4.0,,39281,494335,173124,0.6497840533241628,0.9298295699807447,1.5796136233049074,1.0,1670,54337,0.3138617407176359,756,375,519,0.9554812476354714,14.29121359999408,706.4375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0001_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0001_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_0p0001_w1_1p0_w2_1p0\nlsn_map.html
2,5e-05,1.0,1.0,1400,5e-06,4.0,,39281,494335,205770,0.5837438174517281,0.9304442676890983,1.5141880851408263,0.9844486562667055,1650,62182,0.30696549340968554,966,522,721,0.9302213470254883,16.0819557000068,717.26171875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_5e-05_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_5e-05_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_5e-05_w1_1p0_w2_1p0\nlsn_map.html
1,1e-05,1.0,1.0,1400,5e-06,4.0,,39281,494335,365923,0.25976716194483496,0.9657215471997276,1.2254887091445625,0.9927799017826154,1625,106186,0.29229714738728424,1084,545,717,0.831712942949454,26.78983690001769,684.74609375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_1e-05_w1_1p0_w2_1p0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_1e-05_w1_1p0_w2_1p0\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\CEE_From_ports_to_routes_extracting_maritime_traffic_patterns\PLSN_Extraction\results\nlsn\gamma_1e-05_w1_1p0_w2_1p0\nlsn_map.html
